order,original_clip_idx,filename,class_label,class_name,demand_env,snr_db,beep_start_s,clip_start_s,clip_end_s,ravdess_files
18,172,distress_NPARK_002.wav,2,distress,NPARK,11.6,833.0,837.0,882.0,03-01-06-02-02-02-24.wav|03-01-06-01-02-01-07.wav|03-01-05-01-02-02-18.wav|03-01-06-02-02-02-18.wav|03-01-06-01-02-02-09.wav|03-01-05-02-02-02-04.wav|03-01-06-01-02-02-24.wav|03-01-06-01-02-01-08.wav|03-01-06-01-01-02-02.wav|03-01-06-02-02-02-17.wav|03-01-06-01-02-01-21.wav
19,170,distress_OHALLWAY_010.wav,2,distress,OHALLWAY,12.2,882.0,886.0,931.0,03-01-06-02-02-02-21.wav|03-01-05-01-02-02-23.wav|03-01-06-02-01-01-20.wav|03-01-05-01-02-02-07.wav|03-01-06-02-02-01-08.wav|03-01-06-02-01-02-18.wav|03-01-05-02-01-02-08.wav|03-01-06-01-01-02-10.wav|03-01-05-01-02-02-10.wav|03-01-06-01-01-02-07.wav|03-01-06-01-02-01-23.wav
20,135,distress_DLIVING_005.wav,2,distress,DLIVING,6.5,931.0,935.0,980.0,03-01-06-02-02-02-02.wav|03-01-05-02-01-01-04.wav|03-01-06-02-02-02-11.wav|03-01-06-01-01-02-03.wav|03-01-05-02-02-01-21.wav|03-01-05-02-01-02-02.wav|03-01-06-02-01-01-23.wav|03-01-05-01-01-01-15.wav|03-01-06-02-01-02-17.wav|03-01-05-01-01-01-06.wav|03-01-06-02-02-02-12.wav
21,2,background_DKITCHEN_002.wav,0,background,DKITCHEN,N/A,980.0,984.0,1029.0,N/A
22,78,calm_speech_DLIVING_008.wav,1,calm_speech,DLIVING,10.6,1029.0,1033.0,1078.0,03-01-02-01-01-01-18.wav|03-01-02-02-01-01-07.wav|03-01-01-01-01-01-11.wav|03-01-02-02-02-01-07.wav|03-01-02-01-02-02-08.wav|03-01-02-01-02-02-18.wav|03-01-02-01-02-01-08.wav|03-01-01-01-02-01-15.wav|03-01-02-01-02-01-18.wav|03-01-02-01-01-02-11.wav|03-01-02-02-01-02-07.wav
23,83,calm_speech_PRESTO_003.wav,1,calm_speech,PRESTO,14.6,1078.0,1082.0,1127.0,03-01-01-01-02-01-08.wav|03-01-02-01-01-02-04.wav|03-01-02-02-02-02-22.wav|03-01-01-01-02-02-15.wav|03-01-01-01-01-02-11.wav|03-01-01-01-02-02-14.wav|03-01-02-01-01-01-09.wav|03-01-01-01-02-01-02.wav|03-01-02-01-02-01-11.wav|03-01-01-01-01-02-04.wav|03-01-02-02-01-01-18.wav|03-01-01-01-02-02-09.wav
24,37,background_SPSQUARE_007.wav,0,background,SPSQUARE,N/A,1127.0,1131.0,1176.0,N/A
25,48,background_OHALLWAY_008.wav,0,background,OHALLWAY,N/A,1176.0,1180.0,1225.0,N/A
26,44,background_OHALLWAY_004.wav,0,background,OHALLWAY,N/A,1225.0,1229.0,1274.0,N/A
27,103,calm_speech_OHALLWAY_003.wav,1,calm_speech,OHALLWAY,7.9,1274.0,1278.0,1323.0,03-01-01-01-01-02-18.wav|03-01-02-01-01-02-24.wav|03-01-02-02-01-01-20.wav|03-01-02-01-01-01-14.wav|03-01-02-02-01-02-14.wav|03-01-01-01-02-01-18.wav|03-01-02-02-02-02-22.wav|03-01-01-01-01-02-01.wav|03-01-01-01-01-02-24.wav|03-01-02-01-02-02-18.wav|03-01-01-01-01-01-09.wav
28,82,calm_speech_PRESTO_002.wav,1,calm_speech,PRESTO,6.9,1323.0,1327.0,1372.0,03-01-01-01-02-01-17.wav|03-01-02-01-01-02-08.wav|03-01-02-02-02-01-13.wav|03-01-02-01-01-01-24.wav|03-01-01-01-01-02-01.wav|03-01-01-01-02-02-13.wav|03-01-02-02-02-02-19.wav|03-01-02-02-01-01-14.wav|03-01-02-01-01-02-19.wav|03-01-01-01-01-01-10.wav|03-01-01-01-02-02-21.wav
29,11,background_DLIVING_001.wav,0,background,DLIVING,N/A,1372.0,1376.0,1421.0,N/A
30,92,calm_speech_SPSQUARE_002.wav,1,calm_speech,SPSQUARE,6.1,1421.0,1425.0,1470.0,03-01-02-01-01-01-16.wav|03-01-02-02-02-02-20.wav|03-01-02-01-02-01-07.wav|03-01-02-01-02-02-08.wav|03-01-01-01-02-02-23.wav|03-01-02-01-02-01-12.wav|03-01-02-01-02-01-23.wav|03-01-02-02-01-01-21.wav|03-01-01-01-01-01-19.wav|03-01-02-01-01-02-12.wav|03-01-02-01-02-01-11.wav
31,147,distress_PRESTO_007.wav,2,distress,PRESTO,8.4,1470.0,1474.0,1519.0,03-01-05-02-02-02-24.wav|03-01-05-02-01-01-21.wav|03-01-06-01-01-02-19.wav|03-01-06-01-02-01-11.wav|03-01-05-02-02-01-02.wav|03-01-05-02-02-02-18.wav|03-01-06-02-02-02-21.wav|03-01-06-02-02-02-22.wav|03-01-05-02-01-02-23.wav|03-01-05-02-02-02-21.wav|03-01-05-02-01-02-05.wav
32,151,distress_SPSQUARE_001.wav,2,distress,SPSQUARE,13.7,1519.0,1523.0,1568.0,03-01-05-02-02-01-12.wav|03-01-06-02-02-01-14.wav|03-01-06-01-02-02-21.wav|03-01-06-02-02-01-02.wav|03-01-06-01-01-01-22.wav|03-01-06-02-02-02-13.wav|03-01-05-02-02-01-17.wav|03-01-06-02-02-01-24.wav|03-01-05-01-01-01-06.wav|03-01-06-02-02-01-01.wav|03-01-06-01-02-01-20.wav
33,122,distress_DKITCHEN_002.wav,2,distress,DKITCHEN,13.9,1568.0,1572.0,1617.0,03-01-05-01-02-02-14.wav|03-01-06-01-01-01-15.wav|03-01-05-02-01-01-14.wav|03-01-05-01-01-01-04.wav|03-01-06-01-02-01-14.wav|03-01-05-02-01-01-22.wav|03-01-06-02-02-01-12.wav|03-01-06-02-02-02-05.wav|03-01-05-01-02-01-16.wav|03-01-06-02-02-02-03.wav|03-01-06-01-01-02-03.wav
34,100,calm_speech_SPSQUARE_010.wav,1,calm_speech,SPSQUARE,11.3,1617.0,1621.0,1666.0,03-01-02-01-01-01-09.wav|03-01-02-02-02-01-05.wav|03-01-02-01-02-02-10.wav|03-01-01-01-02-01-07.wav|03-01-02-01-01-01-12.wav|03-01-01-01-01-01-07.wav|03-01-02-01-01-02-03.wav|03-01-01-01-01-02-14.wav|03-01-01-01-02-01-13.wav|03-01-01-01-02-02-06.wav|03-01-02-02-02-02-13.wav
35,161,distress_OHALLWAY_001.wav,2,distress,OHALLWAY,6.4,1666.0,1670.0,1715.0,03-01-06-01-01-02-23.wav|03-01-05-02-02-02-24.wav|03-01-05-01-01-01-12.wav|03-01-06-02-01-01-13.wav|03-01-06-02-01-02-12.wav|03-01-06-02-02-02-18.wav|03-01-05-01-02-02-11.wav|03-01-06-02-01-02-15.wav|03-01-05-02-02-02-09.wav|03-01-06-02-02-01-08.wav|03-01-05-01-01-02-04.wav
36,123,distress_DKITCHEN_003.wav,2,distress,DKITCHEN,6.0,1715.0,1719.0,1764.0,03-01-06-01-02-01-24.wav|03-01-05-01-02-01-05.wav|03-01-06-02-01-02-02.wav|03-01-06-02-02-02-18.wav|03-01-06-01-01-01-11.wav|03-01-06-02-02-01-04.wav|03-01-05-02-01-02-12.wav|03-01-05-02-01-01-22.wav|03-01-06-01-01-01-14.wav|03-01-05-01-01-02-24.wav|03-01-05-01-02-02-10.wav
37,81,calm_speech_PRESTO_001.wav,1,calm_speech,PRESTO,5.0,1764.0,1768.0,1813.0,03-01-02-01-02-01-23.wav|03-01-02-01-01-02-09.wav|03-01-02-02-02-02-19.wav|03-01-01-01-01-02-15.wav|03-01-02-01-02-02-14.wav|03-01-01-01-02-02-06.wav|03-01-02-02-01-02-13.wav|03-01-01-01-02-02-14.wav|03-01-02-01-01-02-18.wav|03-01-01-01-02-01-18.wav|03-01-02-01-02-02-13.wav
38,156,distress_SPSQUARE_006.wav,2,distress,SPSQUARE,13.0,1813.0,1817.0,1862.0,03-01-06-01-02-01-18.wav|03-01-06-02-02-01-20.wav|03-01-06-02-01-01-03.wav|03-01-06-02-02-02-10.wav|03-01-06-01-01-02-23.wav|03-01-05-02-02-02-16.wav|03-01-05-01-02-01-14.wav|03-01-05-01-01-02-14.wav|03-01-05-02-02-01-19.wav|03-01-05-01-01-01-05.wav|03-01-05-01-02-01-11.wav
39,68,calm_speech_DKITCHEN_008.wav,1,calm_speech,DKITCHEN,14.3,1862.0,1866.0,1911.0,03-01-02-01-02-01-09.wav|03-01-01-01-02-01-14.wav|03-01-02-02-02-02-16.wav|03-01-01-01-01-01-23.wav|03-01-01-01-01-02-06.wav|03-01-02-01-02-02-10.wav|03-01-02-01-01-02-15.wav|03-01-02-01-02-02-24.wav|03-01-02-01-01-01-10.wav|03-01-01-01-01-01-04.wav|03-01-02-01-01-02-03.wav|03-01-02-02-02-01-03.wav
40,63,calm_speech_DKITCHEN_003.wav,1,calm_speech,DKITCHEN,12.8,1911.0,1915.0,1960.0,03-01-02-02-01-02-10.wav|03-01-02-01-01-02-02.wav|03-01-02-01-01-01-14.wav|03-01-02-01-01-02-12.wav|03-01-01-01-01-02-10.wav|03-01-02-01-01-01-14.wav|03-01-01-01-02-02-22.wav|03-01-02-02-02-01-20.wav|03-01-01-01-02-02-12.wav|03-01-02-01-02-02-11.wav|03-01-02-02-02-02-24.wav
41,80,calm_speech_DLIVING_010.wav,1,calm_speech,DLIVING,10.1,1960.0,1964.0,2009.0,03-01-02-02-02-02-23.wav|03-01-01-01-01-02-02.wav|03-01-01-01-01-02-12.wav|03-01-01-01-02-02-12.wav|03-01-02-01-02-02-05.wav|03-01-01-01-02-01-19.wav|03-01-02-01-02-02-14.wav|03-01-02-02-01-02-22.wav|03-01-02-01-01-02-17.wav|03-01-01-01-01-02-09.wav|03-01-02-02-02-02-02.wav
42,88,calm_speech_PRESTO_008.wav,1,calm_speech,PRESTO,8.9,2009.0,2013.0,2058.0,03-01-01-01-02-02-18.wav|03-01-01-01-01-01-08.wav|03-01-01-01-01-02-20.wav|03-01-02-01-01-01-06.wav|03-01-02-02-02-01-23.wav|03-01-02-02-01-01-17.wav|03-01-01-01-01-01-02.wav|03-01-02-02-02-01-19.wav|03-01-02-01-01-02-20.wav|03-01-01-01-01-02-03.wav|03-01-01-01-02-01-17.wav
43,50,background_OHALLWAY_010.wav,0,background,OHALLWAY,N/A,2058.0,2062.0,2107.0,N/A
44,110,calm_speech_OHALLWAY_010.wav,1,calm_speech,OHALLWAY,7.9,2107.0,2111.0,2156.0,03-01-02-02-02-02-16.wav|03-01-01-01-02-02-07.wav|03-01-02-02-01-01-23.wav|03-01-02-02-01-02-08.wav|03-01-02-01-01-02-08.wav|03-01-01-01-02-02-17.wav|03-01-01-01-02-02-11.wav|03-01-01-01-01-02-07.wav|03-01-02-01-01-02-20.wav|03-01-02-02-02-01-11.wav|03-01-02-02-02-01-11.wav
45,153,distress_SPSQUARE_003.wav,2,distress,SPSQUARE,9.0,2156.0,2160.0,2205.0,03-01-06-02-02-01-21.wav|03-01-06-02-02-02-08.wav|03-01-06-01-02-01-04.wav|03-01-06-01-01-01-24.wav|03-01-06-02-02-02-16.wav|03-01-05-02-02-02-13.wav|03-01-06-02-02-02-18.wav|03-01-05-02-02-01-09.wav|03-01-05-02-01-02-09.wav|03-01-05-02-01-02-15.wav|03-01-06-02-02-01-20.wav
46,75,calm_speech_DLIVING_005.wav,1,calm_speech,DLIVING,6.6,2205.0,2209.0,2254.0,03-01-01-01-02-01-24.wav|03-01-02-02-02-01-13.wav|03-01-02-01-02-02-23.wav|03-01-02-01-02-02-24.wav|03-01-02-01-01-01-05.wav|03-01-02-02-01-01-06.wav|03-01-02-02-02-02-05.wav|03-01-02-01-02-01-05.wav|03-01-02-01-02-02-24.wav|03-01-02-01-02-02-12.wav|03-01-02-02-02-01-09.wav
47,138,distress_DLIVING_008.wav,2,distress,DLIVING,13.3,2254.0,2258.0,2303.0,03-01-06-01-02-01-24.wav|03-01-06-02-01-01-17.wav|03-01-05-02-02-01-21.wav|03-01-06-01-01-01-14.wav|03-01-06-01-01-02-12.wav|03-01-06-01-01-02-12.wav|03-01-06-02-01-02-06.wav|03-01-06-01-02-01-07.wav|03-01-06-01-01-01-16.wav|03-01-05-02-01-02-08.wav|03-01-06-02-02-01-05.wav
48,158,distress_SPSQUARE_008.wav,2,distress,SPSQUARE,7.3,2303.0,2307.0,2352.0,03-01-06-01-01-02-17.wav|03-01-05-01-01-02-10.wav|03-01-06-01-02-02-03.wav|03-01-05-02-01-01-07.wav|03-01-06-01-02-01-18.wav|03-01-05-01-01-01-05.wav|03-01-06-01-02-02-10.wav|03-01-05-01-01-01-18.wav|03-01-05-01-01-01-17.wav|03-01-05-02-01-02-06.wav|03-01-06-01-01-02-19.wav
49,168,distress_OHALLWAY_008.wav,2,distress,OHALLWAY,11.2,2352.0,2356.0,2401.0,03-01-05-01-02-01-13.wav|03-01-06-02-01-02-22.wav|03-01-05-01-01-01-02.wav|03-01-05-02-02-02-23.wav|03-01-05-01-01-01-07.wav|03-01-05-01-01-02-15.wav|03-01-05-02-02-02-14.wav|03-01-05-01-02-02-14.wav|03-01-06-01-01-01-07.wav|03-01-05-01-01-02-17.wav|03-01-06-02-02-01-20.wav
50,116,calm_speech_NPARK_006.wav,1,calm_speech,NPARK,6.2,2401.0,2405.0,2450.0,03-01-02-02-01-02-02.wav|03-01-02-01-02-02-02.wav|03-01-01-01-01-01-22.wav|03-01-01-01-01-02-05.wav|03-01-02-01-02-01-23.wav|03-01-02-01-02-01-17.wav|03-01-02-02-01-02-16.wav|03-01-01-01-01-01-24.wav|03-01-02-02-01-01-07.wav|03-01-02-02-01-01-18.wav|03-01-01-01-02-01-05.wav
51,10,background_DKITCHEN_010.wav,0,background,DKITCHEN,N/A,2450.0,2454.0,2499.0,N/A
52,86,calm_speech_PRESTO_006.wav,1,calm_speech,PRESTO,7.4,2499.0,2503.0,2548.0,03-01-01-01-02-02-19.wav|03-01-01-01-02-02-13.wav|03-01-02-01-02-02-12.wav|03-01-02-01-02-01-14.wav|03-01-01-01-01-01-24.wav|03-01-02-01-02-02-06.wav|03-01-02-02-02-01-10.wav|03-01-02-01-02-01-07.wav|03-01-01-01-01-01-10.wav|03-01-02-02-01-01-18.wav|03-01-01-01-01-02-15.wav|03-01-01-01-02-01-20.wav
53,134,distress_DLIVING_004.wav,2,distress,DLIVING,8.7,2548.0,2552.0,2597.0,03-01-05-01-02-01-10.wav|03-01-05-02-02-01-21.wav|03-01-06-02-02-02-03.wav|03-01-05-01-01-01-20.wav|03-01-05-02-01-01-13.wav|03-01-06-01-01-02-19.wav|03-01-06-01-02-01-24.wav|03-01-05-01-02-02-02.wav|03-01-05-02-01-01-19.wav|03-01-05-01-01-02-07.wav|03-01-06-01-01-01-20.wav
54,171,distress_NPARK_001.wav,2,distress,NPARK,9.8,2597.0,2601.0,2646.0,03-01-06-02-02-01-18.wav|03-01-05-01-01-02-24.wav|03-01-05-01-02-02-10.wav|03-01-05-02-01-02-19.wav|03-01-05-02-02-01-18.wav|03-01-06-01-02-01-13.wav|03-01-05-01-01-01-12.wav|03-01-06-01-01-01-05.wav|03-01-05-01-02-02-02.wav|03-01-06-02-02-02-23.wav|03-01-05-01-02-01-12.wav
55,154,distress_SPSQUARE_004.wav,2,distress,SPSQUARE,14.2,2646.0,2650.0,2695.0,03-01-06-02-01-01-16.wav|03-01-06-02-02-01-04.wav|03-01-05-02-02-02-03.wav|03-01-05-02-02-02-06.wav|03-01-06-02-02-02-23.wav|03-01-06-02-01-01-03.wav|03-01-06-02-02-01-22.wav|03-01-05-01-02-02-11.wav|03-01-05-01-02-01-12.wav|03-01-05-01-01-02-03.wav|03-01-05-02-01-02-18.wav
56,174,distress_NPARK_004.wav,2,distress,NPARK,14.1,2695.0,2699.0,2744.0,03-01-06-02-01-02-03.wav|03-01-05-02-01-02-19.wav|03-01-05-01-01-01-18.wav|03-01-05-01-02-01-24.wav|03-01-05-02-01-01-02.wav|03-01-06-01-01-02-06.wav|03-01-06-01-02-02-06.wav|03-01-05-01-02-01-02.wav|03-01-06-01-02-02-13.wav|03-01-06-02-01-02-16.wav|03-01-06-02-02-01-24.wav
57,51,background_NPARK_001.wav,0,background,NPARK,N/A,2744.0,2748.0,2793.0,N/A
58,114,calm_speech_NPARK_004.wav,1,calm_speech,NPARK,14.1,2793.0,2797.0,2842.0,03-01-01-01-01-01-08.wav|03-01-02-01-02-02-21.wav|03-01-02-01-02-02-13.wav|03-01-02-01-01-02-15.wav|03-01-02-02-02-01-05.wav|03-01-01-01-02-02-04.wav|03-01-02-01-02-02-10.wav|03-01-02-02-02-02-17.wav|03-01-02-02-01-02-24.wav|03-01-02-02-02-01-04.wav|03-01-02-02-02-01-17.wav
59,43,background_OHALLWAY_003.wav,0,background,OHALLWAY,N/A,2842.0,2846.0,2891.0,N/A
60,76,calm_speech_DLIVING_006.wav,1,calm_speech,DLIVING,7.0,2891.0,2895.0,2940.0,03-01-01-01-02-02-12.wav|03-01-02-02-02-02-21.wav|03-01-02-02-01-01-03.wav|03-01-02-01-02-02-19.wav|03-01-02-02-01-02-12.wav|03-01-01-01-01-01-01.wav|03-01-02-01-02-01-06.wav|03-01-01-01-02-01-12.wav|03-01-02-01-01-02-19.wav|03-01-02-02-01-02-19.wav|03-01-02-01-01-01-01.wav
61,61,calm_speech_DKITCHEN_001.wav,1,calm_speech,DKITCHEN,13.1,2940.0,2944.0,2989.0,03-01-02-02-02-02-20.wav|03-01-01-01-02-02-06.wav|03-01-01-01-01-02-17.wav|03-01-02-01-02-01-24.wav|03-01-02-01-01-01-16.wav|03-01-01-01-02-01-09.wav|03-01-02-02-02-02-03.wav|03-01-02-02-01-01-10.wav|03-01-02-01-01-02-13.wav|03-01-02-02-02-02-10.wav|03-01-02-01-01-02-05.wav
62,163,distress_OHALLWAY_003.wav,2,distress,OHALLWAY,8.9,2989.0,2993.0,3038.0,03-01-06-01-02-01-15.wav|03-01-06-01-02-02-08.wav|03-01-06-01-02-01-19.wav|03-01-06-01-01-01-02.wav|03-01-05-01-01-01-10.wav|03-01-05-01-01-02-20.wav|03-01-05-01-01-02-21.wav|03-01-05-01-01-01-16.wav|03-01-05-01-01-02-18.wav|03-01-05-02-02-02-04.wav|03-01-05-02-01-01-05.wav
63,4,background_DKITCHEN_004.wav,0,background,DKITCHEN,N/A,3038.0,3042.0,3087.0,N/A
64,64,calm_speech_DKITCHEN_004.wav,1,calm_speech,DKITCHEN,12.5,3087.0,3091.0,3136.0,03-01-02-02-02-01-19.wav|03-01-01-01-01-01-18.wav|03-01-02-01-01-01-10.wav|03-01-02-02-01-01-22.wav|03-01-02-02-02-01-04.wav|03-01-01-01-01-01-03.wav|03-01-02-02-01-01-05.wav|03-01-02-02-01-02-07.wav|03-01-02-01-02-02-19.wav|03-01-02-01-02-01-03.wav|03-01-01-01-02-02-17.wav
65,124,distress_DKITCHEN_004.wav,2,distress,DKITCHEN,8.5,3136.0,3140.0,3185.0,03-01-05-02-02-02-19.wav|03-01-06-02-01-02-07.wav|03-01-05-01-01-01-22.wav|03-01-05-01-02-02-08.wav|03-01-05-02-02-02-04.wav|03-01-06-02-01-01-18.wav|03-01-06-01-02-01-04.wav|03-01-06-02-02-02-09.wav|03-01-05-02-01-02-08.wav|03-01-06-01-02-02-14.wav|03-01-06-02-02-02-18.wav
66,23,background_PRESTO_003.wav,0,background,PRESTO,N/A,3185.0,3189.0,3234.0,N/A
67,84,calm_speech_PRESTO_004.wav,1,calm_speech,PRESTO,8.8,3234.0,3238.0,3283.0,03-01-01-01-01-01-18.wav|03-01-02-01-01-01-07.wav|03-01-01-01-02-01-01.wav|03-01-02-01-02-01-05.wav|03-01-02-02-01-01-19.wav|03-01-02-01-02-02-08.wav|03-01-01-01-01-02-23.wav|03-01-01-01-01-02-03.wav|03-01-02-01-01-02-11.wav|03-01-01-01-02-01-06.wav|03-01-02-02-01-01-06.wav
68,142,distress_PRESTO_002.wav,2,distress,PRESTO,8.7,3283.0,3287.0,3332.0,03-01-05-02-01-01-04.wav|03-01-06-01-01-01-17.wav|03-01-06-02-02-02-04.wav|03-01-06-01-02-01-03.wav|03-01-05-01-01-02-06.wav|03-01-05-02-02-01-15.wav|03-01-05-02-02-01-17.wav|03-01-06-02-02-02-14.wav|03-01-05-01-02-01-08.wav|03-01-05-02-02-01-15.wav|03-01-05-01-01-02-12.wav
69,95,calm_speech_SPSQUARE_005.wav,1,calm_speech,SPSQUARE,10.3,3332.0,3336.0,3381.0,03-01-02-02-01-01-19.wav|03-01-02-01-01-02-24.wav|03-01-01-01-01-01-16.wav|03-01-02-02-01-01-20.wav|03-01-01-01-01-01-14.wav|03-01-02-02-02-01-10.wav|03-01-01-01-02-01-09.wav|03-01-01-01-01-02-06.wav|03-01-02-02-02-02-23.wav|03-01-02-02-02-01-08.wav|03-01-01-01-02-01-10.wav
70,53,background_NPARK_003.wav,0,background,NPARK,N/A,3381.0,3385.0,3430.0,N/A
71,29,background_PRESTO_009.wav,0,background,PRESTO,N/A,3430.0,3434.0,3479.0,N/A
72,67,calm_speech_DKITCHEN_007.wav,1,calm_speech,DKITCHEN,13.1,3479.0,3483.0,3528.0,03-01-01-01-02-01-11.wav|03-01-01-01-02-02-11.wav|03-01-01-01-02-01-04.wav|03-01-02-02-01-02-21.wav|03-01-02-02-02-02-03.wav|03-01-02-02-01-02-23.wav|03-01-02-01-01-02-06.wav|03-01-02-01-01-01-21.wav|03-01-02-01-01-02-24.wav|03-01-01-01-02-02-12.wav|03-01-02-01-02-02-19.wav
