"","localid","sessionNums","queryType","questNum","pos","ttr","numTries","clipNum","clipName"
"717","SSI_1160000597",2,3,2,296,"3704",0,6603,"1081_DFA_FEA_XX"
"721","SSI_1160000597",2,3,3,300,"657",0,1125,"1014_TSI_HAP_XX"
"725","SSI_1160000597",2,3,4,304,"985",0,4860,"1060_MTI_NEU_XX"
"729","SSI_1160000597",2,3,5,308,"828",0,7350,"1090_TSI_HAP_XX"
"733","SSI_1160000597",2,3,6,312,"453",0,6105,"1075_ITH_ANG_XX"
"737","SSI_1160000597",2,3,7,316,"828",0,7101,"1087_ITS_FEA_XX"
"741","SSI_1160000597",2,3,8,320,"578",0,3117,"1039_TIE_ANG_XX"
"745","SSI_1160000597",2,3,9,324,"3469",0,5109,"1063_MTI_ANG_XX"
"749","SSI_1160000597",2,3,10,328,"11079",0,3864,"1048_IWW_NEU_XX"
"753","SSI_1160000597",2,3,11,332,"796",0,4362,"1054_TAI_NEU_XX"
"757","SSI_1160000597",2,3,12,336,"688",0,6603,"1081_DFA_FEA_XX"
"761","SSI_1160000597",2,3,13,340,"1422",0,876,"1011_ITS_FEA_XX"
"765","SSI_1160000597",2,3,14,344,"688",0,5607,"1069_IWL_ANG_XX"
"769","SSI_1160000597",2,3,15,348,"468",0,627,"1008_ITH_HAP_XX"
"773","SSI_1160000597",2,3,16,352,"3172",0,2370,"1030_IEO_FEA_LO"
"777","SSI_1160000597",2,3,17,356,"1859",0,4611,"1057_TAI_ANG_XX"
"781","SSI_1160000597",2,3,18,360,"1031",0,5856,"1072_ITH_NEU_XX"
"785","SSI_1160000597",2,3,19,364,"453",0,4860,"1060_MTI_NEU_XX"
"789","SSI_1160000597",2,3,20,368,"375",0,4113,"1051_IWW_ANG_XX"
"793","SSI_1160000597",2,3,21,372,"2859",0,3615,"1045_IOM_ANG_XX"
"797","SSI_1160000597",2,3,22,376,"1032",0,6852,"1084_ITS_HAP_XX"
"801","SSI_1160000597",2,3,23,380,"531",0,5358,"1066_IWL_NEU_XX"
"805","SSI_1160000597",2,3,24,384,"703",0,1872,"1024_IEO_SAD_LO"
"809","SSI_1160000597",2,3,25,388,"1157",0,1374,"1017_TSI_FEA_XX"
"813","SSI_1160000597",2,3,26,392,"547",0,2619,"1033_IEO_DIS_LO"
"817","SSI_1160000597",2,3,27,396,"672",0,378,"1005_IWL_FEA_XX"
"821","SSI_1160000597",2,3,28,400,"484",0,3117,"1039_TIE_ANG_XX"
"825","SSI_1160000597",2,3,29,404,"2000",0,3366,"1042_IOM_NEU_XX"
"829","SSI_1160000597",2,3,30,408,"2312",0,2868,"1036_TIE_NEU_XX"
"833","SSI_1160000597",2,3,31,412,"437",0,6354,"1078_DFA_HAP_XX"
"837","SSI_1160000597",2,3,32,416,"890",0,2121,"1027_IEO_ANG_LO"
"841","SSI_1160000597",2,3,33,420,"656",0,157,"1002_TSI_DIS_XX"
"850","SSI_1080005391",7,1,91,4,"3593",0,7443,"ANG_HI_practice"
"854","SSI_1080005391",7,1,92,8,"3106",0,7444,"SAD_MD_practice"
"858","SSI_1080005391",7,1,1,12,"4969",0,6624,"1082_IEO_HAP_LO"
"862","SSI_1080005391",7,1,2,16,"7808",0,1921,"1024_ITH_HAP_XX"
"866","SSI_1080005391",7,1,3,20,"9238",0,2640,"1033_TAI_NEU_XX"
"870","SSI_1080005391",7,1,4,24,"5638",0,3636,"1045_IWL_NEU_XX"
"874","SSI_1080005391",7,1,5,28,"14600",0,4383,"1054_ITH_ANG_XX"
"878","SSI_1080005391",7,1,6,32,"6892",0,4881,"1060_DFA_ANG_XX"
"882","SSI_1080005391",7,1,7,36,"19471",0,1423,"1018_MTI_HAP_XX"
"886","SSI_1080005391",7,1,8,40,"3355",0,6126,"1075_WSI_NEU_XX"
"890","SSI_1080005391",7,1,9,44,"7132",0,5130,"1063_ITS_NEU_XX"
"894","SSI_1080005391",7,1,10,48,"947",0,7371,"1091_IEO_FEA_LO"
"898","SSI_1080005391",7,1,11,52,"6648",0,4632,"1057_DFA_NEU_XX"
"902","SSI_1080005391",7,1,12,56,"14364",0,6375,"1078_WSI_FEA_XX"
"906","SSI_1080005391",7,1,13,60,"2516",0,178,"1003_IEO_DIS_MD"
"910","SSI_1080005391",7,1,14,64,"9055",0,3387,"1042_MTI_ANG_XX"
"914","SSI_1080005391",7,1,15,68,"16936",0,2391,"1030_IWW_ANG_XX"
"918","SSI_1080005391",7,1,16,72,"1347",0,4134,"1051_ITH_NEU_XX"
"922","SSI_1080005391",7,1,18,76,"1814",0,5379,"1066_ITS_ANG_XX"
"926","SSI_1080005391",7,1,17,80,"13425",0,1423,"1018_MTI_HAP_XX"
"930","SSI_1080005391",7,1,19,84,"20469",0,5628,"1069_TSI_NEU_XX"
"934","SSI_1080005391",7,1,20,88,"6935",0,925,"1012_TAI_HAP_XX"
"938","SSI_1080005391",7,1,21,92,"3651",0,6873,"1085_IEO_SAD_LO"
"942","SSI_1080005391",7,1,22,96,"15961",0,427,"1006_TIE_HAP_XX"
"946","SSI_1080005391",7,1,23,100,"1780",0,2640,"1033_TAI_NEU_XX"
"950","SSI_1080005391",7,1,24,104,"9778",0,3138,"1039_MTI_NEU_XX"
"954","SSI_1080005391",7,1,25,108,"488",0,7371,"1091_IEO_FEA_LO"
"958","SSI_1080005391",7,1,26,112,"9225",0,676,"1009_IOM_FEA_XX"
"962","SSI_1080005391",7,1,27,116,"6158",0,7122,"1088_IEO_ANG_LO"
"966","SSI_1080005391",7,1,28,120,"1450",0,5877,"1072_TSI_ANG_XX"
"970","SSI_1080005391",7,1,29,124,"10953",0,1672,"1021_IWL_FEA_XX"
"974","SSI_1080005391",7,1,30,128,"577",0,2889,"1036_TAI_ANG_XX"
"978","SSI_1080005391",7,1,31,132,"8027",0,1174,"1015_TAI_FEA_XX"
"982","SSI_1080005391",7,1,32,136,"15871",0,2142,"1027_IWW_NEU_XX"
"986","SSI_1080005391",7,1,33,140,"4620",0,3885,"1048_IWL_ANG_XX"
"990","SSI_1080005391",7,2,91,144,"2419",0,7443,"ANG_HI_practice"
"994","SSI_1080005391",7,2,92,148,"3510",0,7444,"SAD_MD_practice"
"998","SSI_1080005391",7,2,1,152,"2979",0,3913,"1048_WSI_HAP_XX"
"1002","SSI_1080005391",7,2,2,156,"4507",0,6901,"1085_IWW_FEA_XX"
"1006","SSI_1080005391",7,2,3,160,"2114",0,5407,"1067_IEO_DIS_LO"
"1010","SSI_1080005391",7,2,4,164,"10177",0,5656,"1070_TIE_NEU_XX"
"1014","SSI_1080005391",7,2,5,168,"11327",0,1949,"1024_WSI_DIS_XX"
"1018","SSI_1080005391",7,2,6,172,"3171",0,6154,"1076_IOM_NEU_XX"
"1022","SSI_1080005391",7,2,7,176,"1939",0,6652,"1082_IWW_HAP_XX"
"1026","SSI_1080005391",7,2,8,180,"9905",0,4411,"1055_IEO_HAP_LO"
"1030","SSI_1080005391",7,2,9,184,"3619",0,4909,"1061_IEO_ANG_LO"
"1034","SSI_1080005391",7,2,10,188,"1101",0,2668,"1033_DFA_FEA_XX"
"1038","SSI_1080005391",7,2,11,192,"1200",0,5158,"1064_IEO_FEA_LO"
"1042","SSI_1080005391",7,2,12,196,"3214",0,1451,"1018_ITS_DIS_XX"
"1046","SSI_1080005391",7,2,13,200,"1650",0,7150,"1088_TAI_HAP_XX"
"1050","SSI_1080005391",7,2,14,204,"2060",0,4162,"1051_WSI_FEA_XX"
"1054","SSI_1080005391",7,2,15,208,"11181",0,3415,"1042_TSI_HAP_XX"
"1058","SSI_1080005391",7,2,16,212,"3797",0,206,"1003_MTI_SAD_XX"
"1062","SSI_1080005391",7,2,17,216,"5481",0,6901,"1085_IWW_FEA_XX"
"1066","SSI_1080005391",7,2,18,220,"4417",0,5905,"1073_TIE_ANG_XX"
"1067","SSI_1080005391",7,2,18,221,"14023",1,5905,"1073_TIE_ANG_XX"
"1071","SSI_1080005391",7,2,19,225,"1387",0,2419,"1030_DFA_HAP_XX"
"1075","SSI_1080005391",7,2,20,229,"1396",0,2668,"1033_DFA_FEA_XX"
"1079","SSI_1080005391",7,2,21,233,"2110",0,3664,"1045_TSI_FEA_XX"
"1083","SSI_1080005391",7,2,22,237,"8394",0,1202,"1015_ITS_SAD_XX"
"1087","SSI_1080005391",7,2,23,241,"1211",0,1700,"1021_WSI_SAD_XX"
"1091","SSI_1080005391",7,2,24,245,"4000",0,2170,"1027_ITH_FEA_XX"
"1095","SSI_1080005391",7,2,25,249,"1152",0,7399,"1091_TAI_FEA_XX"
"1099","SSI_1080005391",7,2,26,253,"9360",0,6154,"1076_IOM_NEU_XX"
"1103","SSI_1080005391",7,2,27,257,"1388",0,953,"1012_DFA_DIS_XX"
"1107","SSI_1080005391",7,2,28,261,"1636",0,3166,"1039_ITS_FEA_XX"
"1111","SSI_1080005391",7,2,29,265,"4078",0,6403,"1079_IOM_FEA_XX"
"1115","SSI_1080005391",7,2,30,269,"1511",0,704,"1009_DFA_SAD_XX"
"1119","SSI_1080005391",7,2,31,273,"8579",0,2917,"1036_ITS_HAP_XX"
"1123","SSI_1080005391",7,2,32,277,"2507",0,4660,"1058_IEO_SAD_LO"
"1127","SSI_1080005391",7,2,33,281,"565",0,455,"1006_MTI_DIS_XX"
"1131","SSI_1080005391",7,3,91,285,"2300",0,7443,"ANG_HI_practice"
"1135","SSI_1080005391",7,3,92,289,"2035",0,7444,"SAD_MD_practice"
"1139","SSI_1080005391",7,3,1,293,"8464",0,2198,"1028_IEO_HAP_MD"
"1143","SSI_1080005391",7,3,2,297,"1810",0,4937,"1061_TAI_HAP_XX"
"1147","SSI_1080005391",7,3,3,301,"1515",0,4688,"1058_IWW_FEA_XX"
"1151","SSI_1080005391",7,3,4,305,"6841",0,2696,"1034_IEO_ANG_MD"
"1155","SSI_1080005391",7,3,5,309,"1514",0,981,"1013_IEO_ANG_HI"
"1159","SSI_1080005391",7,3,6,313,"2111",0,2447,"1031_IEO_SAD_MD"
"1163","SSI_1080005391",7,3,7,317,"3210",0,4190,"1052_IOM_FEA_XX"
"1167","SSI_1080005391",7,3,8,321,"5501",0,5186,"1064_TAI_FEA_XX"
"1171","SSI_1080005391",7,3,9,325,"2492",0,7427,"1091_ITS_SAD_XX"
"1175","SSI_1080005391",7,3,10,329,"1995",0,6182,"1076_IWL_FEA_XX"
"1179","SSI_1080005391",7,3,11,333,"8382",0,2945,"1037_IEO_FEA_MD"
"1183","SSI_1080005391",7,3,12,337,"1954",0,4937,"1061_TAI_HAP_XX"
"1187","SSI_1080005391",7,3,13,341,"4964",0,6929,"1085_DFA_SAD_XX"
"1191","SSI_1080005391",7,3,14,345,"8689",0,6431,"1079_ITH_SAD_XX"
"1195","SSI_1080005391",7,3,15,349,"2115",0,1728,"1022_IOM_SAD_XX"
"1199","SSI_1080005391",7,3,16,353,"2577",0,483,"1006_TSI_ANG_XX"
"1203","SSI_1080005391",7,3,17,357,"1342",0,6680,"1082_ITH_DIS_XX"
"1207","SSI_1080005391",7,3,18,361,"6867",0,3692,"1046_TIE_FEA_XX"
"1211","SSI_1080005391",7,3,19,365,"3566",0,2696,"1034_IEO_ANG_MD"
"1215","SSI_1080005391",7,3,20,369,"3887",0,5684,"1070_MTI_FEA_XX"
"1219","SSI_1080005391",7,3,21,373,"7377",0,3194,"1040_IEO_DIS_MD"
"1223","SSI_1080005391",7,3,22,377,"3296",0,7178,"1088_DFA_DIS_XX"
"1227","SSI_1080005391",7,3,23,381,"1544",0,732,"1010_IEO_SAD_HI"
"1231","SSI_1080005391",7,3,24,385,"1322",0,234,"1003_TSI_NEU_XX"
"1235","SSI_1080005391",7,3,25,389,"5260",0,5435,"1067_MTI_HAP_XX"
"1239","SSI_1080005391",7,3,26,393,"2023",0,4439,"1055_IWW_HAP_XX"
"1243","SSI_1080005391",7,3,27,397,"1543",0,1230,"1016_IEO_FEA_HI"
"1247","SSI_1080005391",7,3,28,401,"6930",0,5186,"1064_TAI_FEA_XX"
"1251","SSI_1080005391",7,3,29,405,"7789",0,1479,"1019_IEO_DIS_HI"
